crop,location,year,month,season,avg_market_price,prev_demand,festival_flag,rainfall_mm,temperature_c,demand_kg
Tomato,Delhi,2024,6,Monsoon,32.02,3904,0,150.8,22.2,2581.0
Tomato,Delhi,2024,7,Monsoon,30.3,2581,0,178.5,25.8,2476.0
Tomato,Delhi,2024,8,Monsoon,31.83,2476,0,206.4,30.5,1898.0
Tomato,Delhi,2024,9,Monsoon,28.64,1898,0,137.7,33.1,2702.0
Tomato,Delhi,2024,10,Autumn,26.33,2702,1,76.1,37.5,5228.0
Tomato,Delhi,2024,11,Autumn,30.38,5228,1,24.7,40.3,8361.0
Tomato,Delhi,2024,12,Winter,24.01,8361,0,26.2,36.3,8222.0
Tomato,Mumbai,2022,1,Winter,24.36,5670,0,7.8,33.9,8226.0
Tomato,Mumbai,2022,2,Winter,25.2,8226,0,36.0,30.2,8192.0
Tomato,Mumbai,2022,3,Summer,25.9,8192,0,0.0,24.8,8181.0
Tomato,Mumbai,2022,4,Summer,26.03,8181,0,22.0,23.7,5894.0
Tomato,Mumbai,2022,5,Summer,30.47,5894,0,52.1,19.9,4028.0
Tomato,Mumbai,2022,6,Monsoon,29.35,4028,0,159.9,20.9,3050.0
Tomato,Mumbai,2022,7,Monsoon,27.33,3050,0,191.5,25.4,2530.0
Tomato,Mumbai,2022,8,Monsoon,26.25,2530,0,187.0,28.2,2686.0
Tomato,Mumbai,2022,9,Monsoon,27.32,2686,0,171.0,34.7,3673.0
Tomato,Mumbai,2022,10,Autumn,26.16,3673,1,86.2,38.1,6563.0
Tomato,Mumbai,2022,11,Autumn,26.23,6563,1,26.4,41.3,7995.0
Tomato,Mumbai,2022,12,Winter,27.84,7995,0,0.0,40.3,8341.0
Tomato,Mumbai,2023,1,Winter,24.45,8341,0,14.3,36.7,8634.0
Tomato,Mumbai,2023,2,Winter,26.2,8634,0,29.6,29.4,8559.0
Tomato,Mumbai,2023,3,Summer,26.91,8559,0,25.1,27.6,7858.0
Tomato,Mumbai,2023,4,Summer,26.38,7858,0,0.0,22.1,5790.0
Tomato,Mumbai,2023,5,Summer,29.62,5790,0,53.4,20.5,3857.0
Tomato,Mumbai,2023,6,Monsoon,28.45,3857,0,147.7,21.5,3253.0
Tomato,Mumbai,2023,7,Monsoon,28.9,3253,0,201.9,27.5,2135.0
Tomato,Mumbai,2023,8,Monsoon,29.16,2135,0,190.5,30.4,2064.0
Tomato,Mumbai,2023,9,Monsoon,31.86,2064,0,148.6,34.8,3926.0
Tomato,Mumbai,2023,10,Autumn,25.51,3926,1,53.8,37.4,6069.0
Tomato,Mumbai,2023,11,Autumn,25.76,6069,1,24.7,40.8,8081.0
Tomato,Mumbai,2023,12,Winter,24.72,8081,0,0.0,37.6,8343.0
Tomato,Mumbai,2024,1,Winter,24.32,8343,0,6.8,34.4,8444.0
Tomato,Mumbai,2024,2,Winter,25.46,8444,0,51.9,28.1,9215.0
Tomato,Mumbai,2024,3,Summer,27.07,9215,0,63.6,23.7,7914.0
Tomato,Mumbai,2024,4,Summer,28.04,7914,0,45.9,20.7,6430.0
Tomato,Mumbai,2024,5,Summer,29.0,6430,0,73.1,20.4,4020.0
Tomato,Mumbai,2024,6,Monsoon,30.1,4020,0,143.7,21.8,2713.0
Tomato,Mumbai,2024,7,Monsoon,30.21,2713,0,200.9,27.0,2316.0
Tomato,Mumbai,2024,8,Monsoon,28.77,2316,0,194.7,30.0,2596.0
Tomato,Mumbai,2024,9,Monsoon,31.39,2596,0,145.8,37.6,3569.0
Tomato,Mumbai,2024,10,Autumn,30.05,3569,1,55.1,36.1,6125.0
Tomato,Mumbai,2024,11,Autumn,28.88,6125,1,27.2,36.4,8372.0
Tomato,Mumbai,2024,12,Winter,27.36,8372,0,3.3,37.1,8529.0
Tomato,Pune,2022,1,Winter,24.87,4200,0,15.6,34.3,6165.0
Tomato,Pune,2022,2,Winter,25.09,6165,0,42.1,26.2,6402.0
Tomato,Pune,2022,3,Summer,23.52,6402,0,24.4,24.9,5858.0
Tomato,Pune,2022,4,Summer,27.94,5858,0,45.9,19.9,4470.0
Tomato,Pune,2022,5,Summer,27.02,4470,0,65.7,19.4,3617.0
Tomato,Pune,2022,6,Monsoon,29.69,3617,0,156.0,24.8,2388.0
Tomato,Pune,2022,7,Monsoon,29.41,2388,0,220.0,26.2,1613.0
Tomato,Pune,2022,8,Monsoon,29.43,1613,0,194.9,29.0,1465.0
Tomato,Pune,2022,9,Monsoon,29.13,1465,0,159.0,34.2,2637.0
Tomato,Pune,2022,10,Autumn,24.53,2637,1,93.9,38.9,4595.0
Tomato,Pune,2022,11,Autumn,28.09,4595,1,2.4,38.2,6264.0
Tomato,Pune,2022,12,Winter,25.47,6264,0,9.5,36.3,6063.0
Tomato,Pune,2023,1,Winter,27.62,6063,0,9.9,35.0,6657.0
Tomato,Pune,2023,2,Winter,26.31,6657,0,0.0,30.5,6545.0
Tomato,Pune,2023,3,Summer,25.95,6545,0,44.2,22.4,5882.0
Tomato,Pune,2023,4,Summer,28.08,5882,0,0.0,24.4,4767.0
Tomato,Pune,2023,5,Summer,29.84,4767,0,58.0,22.2,3333.0
Tomato,Pune,2023,6,Monsoon,27.7,3333,0,150.8,22.6,2236.0
Tomato,Pune,2023,7,Monsoon,30.52,2236,0,191.6,26.1,1365.0
Tomato,Pune,2023,8,Monsoon,27.87,1365,0,192.0,32.2,1544.0
Tomato,Pune,2023,9,Monsoon,28.36,1544,0,150.3,35.8,2832.0
Tomato,Pune,2023,10,Autumn,28.34,2832,1,79.4,39.1,5126.0
Tomato,Pune,2023,11,Autumn,29.03,5126,1,16.9,36.0,6090.0
Tomato,Pune,2023,12,Winter,23.97,6090,0,21.6,39.8,6059.0
Tomato,Pune,2024,1,Winter,27.4,6059,0,0.0,33.3,6642.0
Tomato,Pune,2024,2,Winter,23.76,6642,0,24.1,27.9,6533.0
Tomato,Pune,2024,3,Summer,28.57,6533,0,12.9,26.2,5681.0
Tomato,Pune,2024,4,Summer,29.13,5681,0,31.4,22.5,4293.0
Tomato,Pune,2024,5,Summer,30.34,4293,0,63.9,21.3,3040.0
Tomato,Pune,2024,6,Monsoon,29.61,3040,0,155.1,21.8,2346.0
Tomato,Pune,2024,7,Monsoon,27.92,2346,0,164.0,23.6,1171.0
Tomato,Pune,2024,8,Monsoon,29.38,1171,0,183.7,31.1,1709.0
Tomato,Pune,2024,9,Monsoon,29.09,1709,0,163.6,36.5,2848.0
Tomato,Pune,2024,10,Autumn,27.55,2848,1,68.0,36.5,4195.0
Tomato,Pune,2024,11,Autumn,28.71,4195,1,6.7,38.5,6417.0
Tomato,Pune,2024,12,Winter,25.54,6417,0,0.0,38.4,6525.0
Tomato,Bangalore,2022,1,Winter,26.52,4830,0,18.0,31.8,6812.0
Tomato,Bangalore,2022,2,Winter,24.51,6812,0,12.0,28.4,7380.0
Tomato,Bangalore,2022,3,Summer,26.48,7380,0,17.2,26.0,6922.0
Tomato,Bangalore,2022,4,Summer,28.23,6922,0,14.9,20.0,5186.0
Tomato,Bangalore,2022,5,Summer,27.31,5186,0,83.3,21.6,3892.0
Tomato,Bangalore,2022,6,Monsoon,28.14,3892,0,176.5,25.3,2657.0
Tomato,Bangalore,2022,7,Monsoon,28.71,2657,0,210.0,24.2,1965.0
Tomato,Bangalore,2022,8,Monsoon,25.82,1965,0,198.6,28.7,1589.0
Tomato,Bangalore,2022,9,Monsoon,27.08,1589,0,130.5,33.8,3454.0
Tomato,Bangalore,2022,10,Autumn,27.22,3454,1,83.2,36.4,5198.0
Tomato,Bangalore,2022,11,Autumn,26.84,5198,1,15.7,39.3,6948.0
Tomato,Bangalore,2022,12,Winter,25.43,6948,0,36.0,36.1,8013.0
Tomato,Bangalore,2023,1,Winter,26.13,8013,0,23.3,36.6,7963.0
Tomato,Bangalore,2023,2,Winter,25.12,7963,0,19.1,29.7,7648.0
Tomato,Bangalore,2023,3,Summer,28.3,7648,0,7.2,26.5,6654.0
Tomato,Bangalore,2023,4,Summer,27.13,6654,0,15.7,22.9,5521.0
Tomato,Bangalore,2023,5,Summer,25.55,5521,0,39.1,20.5,3497.0
Tomato,Bangalore,2023,6,Monsoon,27.9,3497,0,167.7,23.5,2089.0
Tomato,Bangalore,2023,7,Monsoon,32.51,2089,0,149.4,24.7,1871.0
Tomato,Bangalore,2023,8,Monsoon,26.73,1871,0,185.5,30.7,2059.0
Tomato,Bangalore,2023,9,Monsoon,29.45,2059,0,148.8,34.4,3023.0
Tomato,Bangalore,2023,10,Autumn,28.82,3023,1,76.6,36.8,5630.0
Tomato,Bangalore,2023,11,Autumn,28.65,5630,1,5.4,37.7,7042.0
Tomato,Bangalore,2023,12,Winter,28.25,7042,0,41.1,37.1,7232.0
Tomato,Bangalore,2024,1,Winter,26.27,7232,0,23.9,36.8,7323.0
Tomato,Bangalore,2024,2,Winter,24.8,7323,0,13.3,30.7,7559.0
Tomato,Bangalore,2024,3,Summer,24.23,7559,0,11.9,27.2,6428.0
Tomato,Bangalore,2024,4,Summer,28.73,6428,0,0.0,21.0,5090.0
Tomato,Bangalore,2024,5,Summer,29.47,5090,0,62.8,20.8,3405.0
Tomato,Bangalore,2024,6,Monsoon,30.32,3405,0,157.9,23.2,2592.0
Tomato,Bangalore,2024,7,Monsoon,29.87,2592,0,198.3,28.6,1837.0
Tomato,Bangalore,2024,8,Monsoon,28.04,1837,0,182.6,28.5,1839.0
Tomato,Bangalore,2024,9,Monsoon,29.26,1839,0,146.2,35.0,2654.0
Tomato,Bangalore,2024,10,Autumn,28.16,2654,1,80.1,38.9,4897.0
Tomato,Bangalore,2024,11,Autumn,25.56,4897,1,28.2,39.3,6993.0
Tomato,Bangalore,2024,12,Winter,27.26,6993,0,23.9,36.4,6791.0
Tomato,Kolkata,2022,1,Winter,24.87,4620,0,40.0,36.4,6836.0
Tomato,Kolkata,2022,2,Winter,25.01,6836,0,0.0,28.3,6709.0
Tomato,Kolkata,2022,3,Summer,24.33,6709,0,30.7,28.5,6003.0
Tomato,Kolkata,2022,4,Summer,25.02,6003,0,23.5,24.6,5066.0
Tomato,Kolkata,2022,5,Summer,25.7,5066,0,93.9,18.5,3584.0
Tomato,Kolkata,2022,6,Monsoon,28.38,3584,0,139.5,23.4,1981.0
Tomato,Kolkata,2022,7,Monsoon,30.03,1981,0,201.6,24.6,1529.0
Tomato,Kolkata,2022,8,Monsoon,29.11,1529,0,184.3,30.8,2033.0
Tomato,Kolkata,2022,9,Monsoon,26.04,2033,0,122.0,35.3,2996.0
Tomato,Kolkata,2022,10,Autumn,25.6,2996,1,45.2,38.5,4703.0
Tomato,Kolkata,2022,11,Autumn,25.12,4703,1,30.7,39.4,7129.0
Tomato,Kolkata,2022,12,Winter,25.8,7129,0,13.4,37.8,6882.0
Tomato,Kolkata,2023,1,Winter,25.42,6882,0,27.1,33.7,7661.0
Tomato,Kolkata,2023,2,Winter,28.46,7661,0,4.4,26.4,7809.0
Tomato,Kolkata,2023,3,Summer,26.35,7809,0,13.9,22.6,6366.0
Tomato,Kolkata,2023,4,Summer,28.37,6366,0,17.2,20.5,5126.0
Tomato,Kolkata,2023,5,Summer,31.21,5126,0,44.2,22.0,3588.0
Tomato,Kolkata,2023,6,Monsoon,29.77,3588,0,142.2,22.0,1948.0
Tomato,Kolkata,2023,7,Monsoon,31.71,1948,0,196.3,24.9,1596.0
Tomato,Kolkata,2023,8,Monsoon,29.73,1596,0,218.9,28.3,1973.0
Tomato,Kolkata,2023,9,Monsoon,30.04,1973,0,134.2,34.8,2691.0
Tomato,Kolkata,2023,10,Autumn,26.3,2691,1,41.2,37.8,4865.0
Tomato,Kolkata,2023,11,Autumn,24.52,4865,1,18.8,36.4,6921.0
Tomato,Kolkata,2023,12,Winter,27.31,6921,0,12.2,33.9,7029.0
Tomato,Kolkata,2024,1,Winter,27.95,7029,0,9.3,32.5,7336.0
Tomato,Kolkata,2024,2,Winter,27.54,7336,0,55.7,30.6,7004.0
Tomato,Kolkata,2024,3,Summer,29.34,7004,0,32.3,26.4,6004.0
Tomato,Kolkata,2024,4,Summer,29.49,6004,0,13.5,21.5,5270.0
Tomato,Kolkata,2024,5,Summer,29.63,5270,0,59.7,20.4,3559.0
Tomato,Kolkata,2024,6,Monsoon,28.62,3559,0,161.6,18.8,2229.0
Tomato,Kolkata,2024,7,Monsoon,28.71,2229,0,159.1,24.1,1777.0
Tomato,Kolkata,2024,8,Monsoon,28.34,1777,0,210.6,29.6,1964.0
Tomato,Kolkata,2024,9,Monsoon,27.92,1964,0,163.0,33.0,2984.0
Tomato,Kolkata,2024,10,Autumn,28.37,2984,1,63.3,38.8,5161.0
Tomato,Kolkata,2024,11,Autumn,27.29,5161,1,4.5,39.0,6435.0
Tomato,Kolkata,2024,12,Winter,26.5,6435,0,0.0,38.8,6575.0
Tomato,Patna,2022,1,Winter,22.03,3150,0,18.6,36.2,4412.0
Tomato,Patna,2022,2,Winter,25.82,4412,0,6.2,32.2,4844.0
Tomato,Patna,2022,3,Summer,26.6,4844,0,2.9,23.8,4274.0
Tomato,Patna,2022,4,Summer,27.12,4274,0,28.2,21.9,3425.0
Tomato,Patna,2022,5,Summer,25.22,3425,0,78.3,22.2,2110.0
Tomato,Patna,2022,6,Monsoon,26.61,2110,0,162.3,24.0,1266.0
Tomato,Patna,2022,7,Monsoon,30.76,1266,0,195.4,26.9,1161.0
Tomato,Patna,2022,8,Monsoon,28.06,1161,0,188.3,28.7,1262.0
Tomato,Patna,2022,9,Monsoon,29.99,1262,0,132.1,37.6,2049.0
Tomato,Patna,2022,10,Autumn,27.63,2049,1,52.8,39.1,3473.0
Tomato,Patna,2022,11,Autumn,27.01,3473,1,38.7,40.0,4722.0
Tomato,Patna,2022,12,Winter,25.54,4722,0,25.1,35.1,4680.0
Tomato,Patna,2023,1,Winter,28.42,4680,0,0.8,37.0,5129.0
Tomato,Patna,2023,2,Winter,26.23,5129,0,23.8,32.0,4903.0
Tomato,Patna,2023,3,Summer,26.86,4903,0,3.6,26.1,4023.0
Tomato,Patna,2023,4,Summer,30.08,4023,0,19.2,22.1,3407.0
Tomato,Patna,2023,5,Summer,28.4,3407,0,66.8,21.4,2390.0
Tomato,Patna,2023,6,Monsoon,27.87,2390,0,131.0,22.0,1430.0
Tomato,Patna,2023,7,Monsoon,26.62,1430,0,201.5,26.1,1211.0
Tomato,Patna,2023,8,Monsoon,30.35,1211,0,208.8,31.6,1253.0
Tomato,Patna,2023,9,Monsoon,28.82,1253,0,134.6,32.9,1940.0
Tomato,Patna,2023,10,Autumn,27.37,1940,1,85.9,39.4,3135.0
Tomato,Patna,2023,11,Autumn,26.5,3135,1,15.2,39.3,4424.0
Tomato,Patna,2023,12,Winter,25.33,4424,0,23.8,37.0,4776.0
Tomato,Patna,2024,1,Winter,27.16,4776,0,14.0,34.9,4721.0
Tomato,Patna,2024,2,Winter,25.37,4721,0,12.8,32.2,4391.0
Tomato,Patna,2024,3,Summer,27.63,4391,0,0.0,25.5,4095.0
Tomato,Patna,2024,4,Summer,28.94,4095,0,38.2,18.2,3587.0
Tomato,Patna,2024,5,Summer,28.14,3587,0,49.7,20.4,2313.0
Tomato,Patna,2024,6,Monsoon,32.35,2313,0,142.4,24.3,1433.0
Tomato,Patna,2024,7,Monsoon,32.45,1433,0,222.4,25.6,1018.0
Tomato,Patna,2024,8,Monsoon,34.23,1018,0,195.8,30.5,1241.0
Tomato,Patna,2024,9,Monsoon,28.68,1241,0,136.7,36.0,1776.0
Tomato,Patna,2024,10,Autumn,28.78,1776,1,80.2,37.8,3287.0
Tomato,Patna,2024,11,Autumn,24.87,3287,1,25.0,39.6,4750.0
Tomato,Patna,2024,12,Winter,26.91,4750,0,5.3,35.6,4764.0
Tomato,Hyderabad,2022,1,Winter,23.34,4410,0,9.6,35.7,6372.0
Tomato,Hyderabad,2022,2,Winter,25.81,6372,0,11.2,29.9,6358.0
Tomato,Hyderabad,2022,3,Summer,23.33,6358,0,30.9,25.6,5457.0
Tomato,Hyderabad,2022,4,Summer,26.59,5457,0,19.8,21.9,4646.0
Tomato,Hyderabad,2022,5,Summer,25.93,4646,0,70.0,22.4,3169.0
Tomato,Hyderabad,2022,6,Monsoon,29.79,3169,0,130.9,22.6,2139.0
Tomato,Hyderabad,2022,7,Monsoon,27.08,2139,0,156.3,22.9,1654.0
Tomato,Hyderabad,2022,8,Monsoon,27.61,1654,0,187.7,30.1,2188.0
Tomato,Hyderabad,2022,9,Monsoon,28.16,2188,0,137.1,33.2,2377.0
Tomato,Hyderabad,2022,10,Autumn,26.53,2377,1,72.4,37.9,5099.0
Tomato,Hyderabad,2022,11,Autumn,25.66,5099,1,10.7,42.1,6220.0
Tomato,Hyderabad,2022,12,Winter,24.37,6220,0,21.0,36.2,6738.0
Tomato,Hyderabad,2023,1,Winter,27.38,6738,0,28.3,33.6,7239.0
Tomato,Hyderabad,2023,2,Winter,28.12,7239,0,41.5,30.8,6270.0
Tomato,Hyderabad,2023,3,Summer,26.95,6270,0,15.2,24.2,5686.0
Tomato,Hyderabad,2023,4,Summer,27.32,5686,0,17.5,25.0,4796.0
Tomato,Hyderabad,2023,5,Summer,28.35,4796,0,63.1,21.1,3558.0
Tomato,Hyderabad,2023,6,Monsoon,29.34,3558,0,164.8,24.7,2500.0
Tomato,Hyderabad,2023,7,Monsoon,30.44,2500,0,176.6,25.4,2001.0
Tomato,Hyderabad,2023,8,Monsoon,29.6,2001,0,197.0,31.3,2245.0
Tomato,Hyderabad,2023,9,Monsoon,28.81,2245,0,151.6,34.0,1992.0
Tomato,Hyderabad,2023,10,Autumn,25.15,1992,1,72.3,32.3,4746.0
Tomato,Hyderabad,2023,11,Autumn,25.78,4746,1,27.2,37.3,6828.0
Tomato,Hyderabad,2023,12,Winter,26.21,6828,0,12.7,41.2,6834.0
Tomato,Hyderabad,2024,1,Winter,25.38,6834,0,44.3,34.7,6991.0
Tomato,Hyderabad,2024,2,Winter,26.64,6991,0,19.5,28.0,6557.0
Tomato,Hyderabad,2024,3,Summer,27.19,6557,0,33.9,25.6,5873.0
Tomato,Hyderabad,2024,4,Summer,26.99,5873,0,23.3,23.1,4469.0
Tomato,Hyderabad,2024,5,Summer,27.21,4469,0,83.2,20.4,3511.0
Tomato,Hyderabad,2024,6,Monsoon,30.1,3511,0,154.2,19.9,2510.0
Tomato,Hyderabad,2024,7,Monsoon,28.03,2510,0,199.5,26.4,1926.0
Tomato,Hyderabad,2024,8,Monsoon,31.0,1926,0,189.3,29.3,2260.0
Tomato,Hyderabad,2024,9,Monsoon,29.04,2260,0,174.2,36.5,2844.0
Tomato,Hyderabad,2024,10,Autumn,28.57,2844,1,78.1,38.0,4948.0
Tomato,Hyderabad,2024,11,Autumn,27.0,4948,1,19.1,37.9,6645.0
Tomato,Hyderabad,2024,12,Winter,27.93,6645,0,20.0,38.3,6526.0
Tomato,Chennai,2022,1,Winter,23.49,4200,0,31.3,35.1,6534.0
Tomato,Chennai,2022,2,Winter,23.96,6534,0,12.5,27.5,6228.0
Tomato,Chennai,2022,3,Summer,25.51,6228,0,20.8,25.1,5824.0
Tomato,Chennai,2022,4,Summer,27.31,5824,0,25.1,22.7,4719.0
Tomato,Chennai,2022,5,Summer,24.44,4719,0,35.0,20.5,3444.0
Tomato,Chennai,2022,6,Monsoon,29.71,3444,0,147.2,23.8,2290.0
Tomato,Chennai,2022,7,Monsoon,27.51,2290,0,186.4,26.2,1744.0
Tomato,Chennai,2022,8,Monsoon,29.17,1744,0,208.7,29.2,1965.0
Tomato,Chennai,2022,9,Monsoon,28.47,1965,0,133.0,36.0,2635.0
Tomato,Chennai,2022,10,Autumn,25.98,2635,1,55.2,36.5,4702.0
Tomato,Chennai,2022,11,Autumn,24.24,4702,1,5.7,39.7,6202.0
Tomato,Chennai,2022,12,Winter,23.49,6202,0,21.6,41.5,6788.0
Tomato,Chennai,2023,1,Winter,26.17,6788,0,22.2,35.1,6844.0
Tomato,Chennai,2023,2,Winter,25.57,6844,0,17.7,32.2,6797.0
Tomato,Chennai,2023,3,Summer,25.28,6797,0,10.3,25.4,5932.0
Tomato,Chennai,2023,4,Summer,27.28,5932,0,41.7,22.1,4311.0
Tomato,Chennai,2023,5,Summer,27.06,4311,0,63.1,18.6,3306.0
Tomato,Chennai,2023,6,Monsoon,28.09,3306,0,167.1,26.4,2606.0
Tomato,Chennai,2023,7,Monsoon,29.73,2606,0,197.5,25.3,1761.0
Tomato,Chennai,2023,8,Monsoon,26.95,1761,0,195.5,29.4,1489.0
Tomato,Chennai,2023,9,Monsoon,27.51,1489,0,157.1,34.1,2509.0
Tomato,Chennai,2023,10,Autumn,26.64,2509,1,78.5,38.1,4822.0
Tomato,Chennai,2023,11,Autumn,28.14,4822,1,43.7,39.7,6471.0
Tomato,Chennai,2023,12,Winter,27.05,6471,0,37.0,38.7,6502.0
Tomato,Chennai,2024,1,Winter,24.88,6502,0,3.5,35.6,6501.0
Tomato,Chennai,2024,2,Winter,29.08,6501,0,39.6,31.3,6245.0
Tomato,Chennai,2024,3,Summer,27.73,6245,0,2.7,25.1,5621.0
Tomato,Chennai,2024,4,Summer,28.88,5621,0,37.0,21.7,4214.0
Tomato,Chennai,2024,5,Summer,28.14,4214,0,73.3,21.0,3131.0
Tomato,Chennai,2024,6,Monsoon,32.26,3131,0,144.5,21.8,2056.0
Tomato,Chennai,2024,7,Monsoon,28.74,2056,0,190.2,22.4,1578.0
Tomato,Chennai,2024,8,Monsoon,29.55,1578,0,183.6,32.1,2081.0
Tomato,Chennai,2024,9,Monsoon,29.07,2081,0,148.2,34.6,2611.0
Tomato,Chennai,2024,10,Autumn,25.58,2611,1,92.4,34.3,4435.0
Tomato,Chennai,2024,11,Autumn,28.25,4435,1,20.2,40.0,5961.0
Tomato,Chennai,2024,12,Winter,27.25,5961,0,35.3,39.3,6480.0
Potato,Delhi,2022,1,Winter,22.49,7500,0,24.1,33.7,9489.0
Potato,Delhi,2022,2,Winter,18.55,9489,0,20.0,32.2,8553.0
Potato,Delhi,2022,3,Summer,22.26,8553,0,2.2,25.0,7080.0
Potato,Delhi,2022,4,Summer,26.7,7080,0,5.2,20.9,6987.0
Potato,Delhi,2022,5,Summer,22.12,6987,0,60.4,20.5,4562.0
Potato,Delhi,2022,6,Monsoon,23.78,4562,0,145.5,20.7,3753.0
Potato,Delhi,2022,7,Monsoon,24.24,3753,0,182.4,25.7,4742.0
Potato,Delhi,2022,8,Monsoon,22.14,4742,0,174.1,31.3,5954.0
Potato,Delhi,2022,9,Monsoon,22.18,5954,0,147.1,32.4,7268.0
Potato,Delhi,2022,10,Autumn,24.12,7268,1,75.8,37.6,10530.0
Potato,Delhi,2022,11,Autumn,24.22,10530,1,16.2,40.1,12745.0
Potato,Delhi,2022,12,Winter,23.42,12745,0,1.6,36.4,10557.0
Potato,Delhi,2023,1,Winter,22.77,10557,0,0.2,33.8,10151.0
Potato,Delhi,2023,2,Winter,21.66,10151,0,10.2,29.0,8899.0
Potato,Delhi,2023,3,Summer,24.56,8899,0,54.2,25.9,7578.0
Potato,Delhi,2023,4,Summer,20.27,7578,0,17.2,21.1,5809.0
Potato,Delhi,2023,5,Summer,22.79,5809,0,39.4,17.6,5709.0
Potato,Delhi,2023,6,Monsoon,25.22,5709,0,146.6,24.1,5083.0
Potato,Delhi,2023,7,Monsoon,25.48,5083,0,180.4,26.3,4603.0
Potato,Delhi,2023,8,Monsoon,23.21,4603,0,202.3,30.8,5101.0
Potato,Delhi,2023,9,Monsoon,23.78,5101,0,129.5,34.6,6506.0
Potato,Delhi,2023,10,Autumn,23.53,6506,1,67.0,38.7,10597.0
Potato,Delhi,2023,11,Autumn,24.53,10597,1,39.2,37.5,11634.0
Potato,Delhi,2023,12,Winter,21.42,11634,0,35.7,37.9,9982.0
Potato,Delhi,2024,1,Winter,24.2,9982,0,17.4,32.2,10708.0
Potato,Delhi,2024,2,Winter,22.32,10708,0,8.0,30.5,9138.0
Potato,Delhi,2024,3,Summer,26.46,9138,0,31.6,25.4,7603.0
Potato,Delhi,2024,4,Summer,25.81,7603,0,35.0,22.4,6123.0
Potato,Delhi,2024,5,Summer,24.03,6123,0,65.8,20.8,5465.0
Potato,Delhi,2024,6,Monsoon,27.53,5465,0,157.0,23.1,5274.0
Potato,Delhi,2024,7,Monsoon,24.32,5274,0,188.2,26.1,4942.0
Potato,Delhi,2024,8,Monsoon,25.21,4942,0,184.9,32.4,5557.0
Potato,Delhi,2024,9,Monsoon,21.2,5557,0,165.2,31.2,7377.0
Potato,Delhi,2024,10,Autumn,21.48,7377,1,67.5,38.2,10147.0
Potato,Delhi,2024,11,Autumn,23.08,10147,1,50.1,40.2,11592.0
Potato,Delhi,2024,12,Winter,23.02,11592,0,14.1,34.6,11133.0
Potato,Mumbai,2022,1,Winter,19.89,8100,0,0.0,33.5,9777.0
Potato,Mumbai,2022,2,Winter,22.84,9777,0,20.8,26.9,10084.0
Potato,Mumbai,2022,3,Summer,21.23,10084,0,16.2,21.8,9211.0
Potato,Mumbai,2022,4,Summer,21.61,9211,0,0.0,21.7,7562.0
Potato,Mumbai,2022,5,Summer,24.52,7562,0,56.5,21.6,6703.0
Potato,Mumbai,2022,6,Monsoon,21.82,6703,0,144.2,22.8,5897.0
