crop,location,quantity,demand,market_price,recommended_price
Spinach,Chennai,34,6,26.0,28.04
Peas,Bangalore,80,6,34.0,40.1
Spinach,Mumbai,88,4,18.5,19.76
Beans,Chennai,124,7,46.0,54.5
Beans,Mumbai,166,10,41.0,51.78
Carrot,Patna,166,1,28.0,27.04
Cabbage,Mumbai,972,6,21.5,23.33
Carrot,Kolkata,476,1,34.5,33.27
Cabbage,Mumbai,674,8,18.0,20.53
Beans,Hyderabad,177,6,44.5,51.03
Cabbage,Kolkata,755,10,19.0,20.88
Beans,Pune,162,7,36.5,42.33
Beans,Bangalore,98,8,44.5,53.78
Peas,Hyderabad,106,4,39.0,45.22
Tomato,Hyderabad,182,2,16.5,16.82
Spinach,Kolkata,99,7,19.5,21.08
Peas,Hyderabad,144,7,47.5,56.45
Tomato,Pune,550,8,30.5,34.02
Brinjal,Delhi,629,8,25.5,29.32
Carrot,Mumbai,238,10,49.0,59.39
Cabbage,Chennai,247,3,16.0,16.89
Tomato,Kolkata,401,5,16.0,17.24
Cabbage,Bangalore,567,1,15.0,15.82
Tomato,Bangalore,116,10,38.5,47.9
Carrot,Delhi,106,5,42.5,45.94
Carrot,Delhi,296,5,32.5,36.06
Beans,Bangalore,331,4,39.5,43.98
Beans,Patna,306,6,26.0,27.27
Carrot,Kolkata,114,6,38.0,42.68
Cabbage,Hyderabad,1129,10,24.0,26.92
Onion,Hyderabad,778,7,38.5,42.76
Peas,Bangalore,283,9,68.0,83.68
Beans,Delhi,127,6,62.0,72.46
Beans,Delhi,191,3,33.5,36.16
Beans,Bangalore,135,7,53.5,63.21
Onion,Delhi,293,7,40.0,47.52
Peas,Hyderabad,97,8,60.0,70.76
Spinach,Pune,112,7,23.5,26.62
Beans,Chennai,140,8,52.0,62.6
Potato,Mumbai,1517,5,16.5,17.89
Tomato,Bangalore,458,6,34.5,38.26
Onion,Patna,246,1,20.0,19.0
Beans,Patna,321,8,45.5,51.22
Cabbage,Chennai,520,4,18.5,19.78
Brinjal,Mumbai,234,8,31.5,37.04
Peas,Mumbai,394,5,60.5,70.27
Cabbage,Bangalore,92,8,15.0,17.97
Potato,Pune,502,10,21.5,25.95
Potato,Mumbai,476,1,15.5,15.68
Beans,Kolkata,429,4,47.5,50.46
Tomato,Kolkata,202,8,31.5,35.42
Tomato,Pune,667,6,36.0,37.45
Carrot,Delhi,247,7,33.5,37.94
Cabbage,Patna,1107,4,16.0,15.7
Onion,Mumbai,1060,2,20.5,22.0
Cauliflower,Bangalore,202,7,39.5,46.23
Tomato,Patna,268,2,15.0,15.0
Peas,Kolkata,406,5,42.5,46.0
Spinach,Kolkata,39,8,25.0,28.69
Cabbage,Chennai,310,6,15.5,16.36
Cauliflower,Kolkata,299,6,25.0,27.31
Potato,Delhi,458,5,17.0,18.66
Carrot,Pune,284,7,28.5,32.38
Peas,Mumbai,185,3,52.0,58.76
Potato,Pune,1115,5,22.5,23.51
Onion,Patna,333,1,20.0,19.18
Peas,Chennai,66,6,62.0,72.31
Cabbage,Pune,284,8,20.0,22.78
Peas,Mumbai,108,3,41.0,46.15
Carrot,Bangalore,125,2,33.0,35.26
Tomato,Pune,161,3,18.0,18.15
Spinach,Patna,180,7,17.0,18.15
Carrot,Pune,175,2,28.5,28.79
Beans,Bangalore,450,10,61.5,76.08
Spinach,Chennai,161,6,26.0,27.53
Peas,Chennai,98,5,49.5,56.5
Beans,Bangalore,285,9,51.5,62.81
Potato,Hyderabad,524,2,22.5,23.53
Spinach,Patna,199,4,17.5,17.14
Spinach,Patna,187,2,13.0,12.35
Tomato,Delhi,386,5,37.5,40.77
Onion,Mumbai,2500,8,21.0,24.72
Potato,Chennai,1098,5,16.0,17.46
Cabbage,Delhi,381,8,20.0,23.5
Onion,Pune,653,6,32.5,36.63
Onion,Bangalore,635,7,36.5,42.8
Tomato,Mumbai,220,5,22.5,24.24
Carrot,Chennai,109,7,31.0,35.88
Beans,Patna,36,5,52.5,58.19
Cauliflower,Pune,223,8,32.0,34.99
Cabbage,Bangalore,436,6,20.5,22.77
Tomato,Pune,718,5,30.5,31.8
Beans,Hyderabad,360,5,35.0,37.05
Onion,Hyderabad,498,9,39.0,45.58
Potato,Bangalore,619,3,19.5,20.88
Cauliflower,Bangalore,175,3,20.0,21.83
Onion,Hyderabad,729,5,39.5,43.62
Tomato,Hyderabad,292,7,28.0,31.83
Potato,Patna,1532,4,14.5,13.86
Spinach,Patna,133,6,19.5,20.08
Potato,Pune,1010,3,18.0,18.15
Onion,Pune,807,4,21.0,21.55
Potato,Chennai,409,6,16.0,17.68
Brinjal,Patna,378,4,22.0,22.11
Cabbage,Bangalore,408,5,15.0,16.16
Brinjal,Pune,119,5,25.0,26.59
Beans,Pune,118,7,34.5,40.41
Potato,Mumbai,1208,2,19.5,20.63
Onion,Delhi,387,8,30.5,36.63
Peas,Chennai,159,6,45.5,52.53
Onion,Delhi,391,6,23.0,26.67
Cauliflower,Patna,159,5,19.0,19.72
Potato,Chennai,1698,10,18.0,20.9
Beans,Mumbai,168,10,58.0,73.93
Cauliflower,Bangalore,360,2,19.5,20.05
Tomato,Delhi,129,9,29.5,34.87
Brinjal,Delhi,278,5,24.0,26.67
Potato,Patna,576,7,19.0,19.94
Brinjal,Pune,202,7,29.5,32.16
Cabbage,Pune,271,7,19.5,20.87
Potato,Bangalore,1412,7,21.5,24.24
Spinach,Kolkata,58,5,14.0,15.03
Cauliflower,Mumbai,429,6,28.5,32.84
Beans,Mumbai,123,6,37.0,42.86
Onion,Kolkata,565,2,22.5,22.49
Potato,Patna,1079,2,13.5,12.97
Spinach,Bangalore,190,8,29.0,32.5
Onion,Delhi,549,1,25.5,26.53
Spinach,Chennai,90,5,16.0,16.91
Carrot,Delhi,334,9,40.0,47.1
Beans,Chennai,92,7,53.0,61.87
Tomato,Hyderabad,328,8,25.5,28.09
Carrot,Pune,260,9,39.5,45.93
Brinjal,Delhi,810,5,27.5,28.21
Peas,Chennai,203,9,45.0,55.5
Carrot,Delhi,350,6,43.0,47.44
Potato,Kolkata,553,3,16.0,16.65
Onion,Chennai,809,6,20.5,22.43
Carrot,Patna,130,5,26.5,28.45
Brinjal,Hyderabad,104,10,28.5,33.29
Cabbage,Delhi,556,8,21.5,24.93
Cabbage,Pune,466,10,16.5,19.57
Peas,Pune,214,4,38.5,43.54
Cauliflower,Hyderabad,535,2,18.5,18.52
Potato,Patna,168,3,13.5,13.65
Brinjal,Pune,152,4,28.0,29.52
Potato,Hyderabad,2500,5,23.5,24.25
Potato,Mumbai,333,5,18.0,20.01
Tomato,Patna,268,6,29.5,29.27
Potato,Chennai,811,6,17.0,19.11
Peas,Mumbai,396,4,45.5,52.68
Carrot,Patna,445,3,24.5,23.96
Carrot,Chennai,219,10,50.5,61.17
Cauliflower,Mumbai,333,5,21.5,24.07
Carrot,Bangalore,77,8,46.0,56.98
Carrot,Hyderabad,386,9,41.5,47.65
Onion,Chennai,229,9,43.0,50.25
Peas,Chennai,122,9,44.0,51.82
Onion,Pune,201,10,30.0,35.66
Brinjal,Pune,207,7,23.0,25.47
Onion,Mumbai,934,5,39.0,42.89
Carrot,Bangalore,441,7,37.0,42.14
Beans,Hyderabad,46,6,30.0,35.62
Potato,Delhi,295,4,20.0,22.15
Potato,Chennai,1284,8,21.0,23.59
Carrot,Chennai,237,4,36.5,39.34
Beans,Kolkata,80,7,42.0,50.01
Cabbage,Delhi,266,7,18.5,20.83
Onion,Bangalore,159,10,42.5,52.31
Cabbage,Kolkata,613,7,20.0,20.77
Brinjal,Bangalore,187,7,32.0,36.85
Potato,Bangalore,1254,6,23.5,25.74
Onion,Mumbai,727,4,21.0,23.59
Beans,Mumbai,287,10,56.0,71.7
Onion,Patna,676,3,21.0,20.63
Cabbage,Mumbai,315,6,22.0,26.16
Peas,Bangalore,135,5,48.5,56.98
Peas,Kolkata,74,9,38.5,47.86
Cauliflower,Chennai,491,10,28.0,31.19
Brinjal,Kolkata,315,7,24.5,25.88
Cauliflower,Patna,230,6,24.5,25.37
Brinjal,Chennai,160,7,32.5,36.61
Carrot,Delhi,281,1,31.0,31.33
Potato,Kolkata,127,4,20.5,22.12
Brinjal,Chennai,150,10,29.0,35.23
Beans,Hyderabad,59,9,48.5,58.62
Potato,Chennai,907,6,21.0,23.01
Spinach,Hyderabad,122,5,24.0,24.87
Cauliflower,Pune,196,6,20.0,21.83
Onion,Bangalore,963,5,22.5,24.56
Spinach,Pune,40,4,23.5,25.04
Spinach,Kolkata,29,5,12.5,13.77
Potato,Patna,589,1,14.5,14.01
Cauliflower,Bangalore,225,10,26.0,30.56
Tomato,Delhi,469,8,34.5,40.34
Brinjal,Hyderabad,165,5,21.5,23.39
Onion,Bangalore,456,3,24.5,26.31
Cauliflower,Delhi,283,1,17.5,17.5
Peas,Chennai,131,6,51.0,60.1
Spinach,Patna,35,3,20.5,20.54
Carrot,Kolkata,244,8,41.0,44.91
Cabbage,Hyderabad,558,7,20.5,22.53
Spinach,Kolkata,85,5,21.5,23.03
Cauliflower,Bangalore,237,2,32.5,32.87
Spinach,Kolkata,96,4,20.5,22.13
Cabbage,Delhi,505,8,18.5,21.46
Onion,Pune,1594,1,25.0,23.95
Onion,Chennai,411,8,34.0,39.37
Cabbage,Patna,178,2,11.5,11.26
Cabbage,Mumbai,1356,5,15.5,17.2
Cabbage,Pune,1039,5,13.5,13.56
Cabbage,Patna,406,3,11.0,10.86
Brinjal,Mumbai,149,9,36.5,42.79
Cabbage,Delhi,435,3,16.5,16.92
Beans,Patna,130,5,43.0,46.5
Potato,Hyderabad,639,10,21.0,25.01
Brinjal,Hyderabad,264,7,27.5,31.11
Peas,Pune,560,7,46.5,52.53
Potato,Kolkata,220,7,20.5,23.2
Brinjal,Pune,279,5,34.0,36.0
Carrot,Patna,230,6,26.5,27.68
Cauliflower,Delhi,407,6,34.5,37.7
Onion,Pune,321,5,37.0,40.05
Potato,Delhi,952,5,16.5,18.1
Brinjal,Pune,730,6,27.5,29.0
Onion,Pune,516,5,19.5,20.82
Tomato,Delhi,419,3,22.5,22.99
Onion,Patna,281,1,20.0,19.0
Brinjal,Chennai,552,10,23.5,27.28
Tomato,Delhi,615,10,38.0,44.95
Tomato,Delhi,144,7,26.0,29.63
Onion,Patna,761,3,19.5,18.6
Cauliflower,Bangalore,673,8,33.0,36.69
Brinjal,Bangalore,249,2,29.5,30.58
Carrot,Delhi,391,5,29.0,32.25
Carrot,Bangalore,471,8,41.5,47.89
Cauliflower,Hyderabad,182,7,28.0,31.09
Spinach,Bangalore,64,7,19.0,22.8
Spinach,Bangalore,129,8,28.5,32.96
Peas,Mumbai,437,3,40.5,46.05
Potato,Hyderabad,1041,10,18.0,20.48
Cabbage,Hyderabad,541,4,13.5,14.1
Cauliflower,Hyderabad,128,5,31.0,34.33
Tomato,Chennai,375,2,17.5,18.0
Spinach,Delhi,161,8,24.5,26.68
Onion,Mumbai,419,8,25.0,30.54
Carrot,Kolkata,388,10,29.0,33.02
Cabbage,Delhi,291,7,17.5,20.02
Brinjal,Bangalore,231,7,36.0,41.64
Potato,Hyderabad,395,4,15.5,16.9
Brinjal,Delhi,146,4,32.5,35.6
Potato,Kolkata,837,8,16.5,17.95
Cabbage,Patna,579,8,19.5,22.05
Onion,Chennai,457,6,21.0,23.5
Tomato,Patna,97,5,26.0,26.78
Spinach,Pune,171,9,24.5,28.19
Tomato,Chennai,174,6,21.0,23.28
Beans,Bangalore,221,6,33.0,40.64
Brinjal,Patna,766,4,26.0,25.66
Onion,Pune,198,3,19.0,20.29
Beans,Chennai,418,5,53.5,58.85
Brinjal,Bangalore,381,9,34.5,40.32
Spinach,Chennai,38,9,25.5,29.47
Spinach,Patna,97,3,16.0,15.2
Tomato,Pune,160,4,35.0,35.94
Tomato,Pune,250,4,17.0,17.45
Cauliflower,Mumbai,102,10,36.0,44.32
Carrot,Hyderabad,153,10,43.5,52.21
Onion,Kolkata,363,5,26.0,28.41
Beans,Chennai,93,8,46.0,55.91
Onion,Pune,406,5,27.0,30.19
Potato,Delhi,412,7,22.5,25.41
Cauliflower,Pune,235,2,20.0,19.63
Potato,Patna,378,4,13.5,14.02
Onion,Pune,916,7,29.5,32.56
Cauliflower,Bangalore,637,6,21.0,23.7
Brinjal,Bangalore,209,7,32.0,36.87
Peas,Hyderabad,199,5,35.0,38.84
Carrot,Delhi,1220,6,55.0,60.2
Cauliflower,Chennai,101,6,30.0,33.66
Onion,Kolkata,462,7,29.0,33.15
Cabbage,Pune,351,3,15.0,15.42
Cabbage,Bangalore,316,5,20.0,22.22
Tomato,Delhi,183,7,35.0,39.43
Cabbage,Chennai,420,9,22.5,26.12
Spinach,Kolkata,88,3,21.5,22.59
Carrot,Delhi,706,6,30.5,33.47
Tomato,Patna,197,6,24.0,24.75
Peas,Pune,65,7,40.0,47.82
Beans,Chennai,158,1,40.0,42.26
Cabbage,Chennai,207,1,14.0,13.87
Brinjal,Delhi,174,10,28.0,33.59
Cabbage,Mumbai,54,7,17.5,21.14
Tomato,Mumbai,1811,8,22.0,23.73
Beans,Mumbai,76,6,58.0,69.18
Beans,Pune,155,6,51.0,57.33
Tomato,Chennai,643,6,33.0,34.54
Beans,Hyderabad,156,2,33.0,35.59
Onion,Delhi,1381,5,23.5,25.24
Brinjal,Pune,569,10,24.0,27.55
Cabbage,Mumbai,222,4,16.0,17.98
Onion,Mumbai,540,10,39.0,49.34
Peas,Chennai,153,4,37.0,42.2
Tomato,Patna,292,3,23.5,22.83
Cabbage,Mumbai,450,4,17.5,18.95
Cabbage,Patna,476,3,14.5,14.23
Beans,Pune,217,5,46.0,51.03
Spinach,Patna,76,1,13.5,13.1
Peas,Kolkata,239,5,47.5,52.67
Spinach,Hyderabad,57,5,17.5,19.1
Beans,Pune,45,5,39.5,45.47
Tomato,Delhi,247,9,35.5,41.43
Tomato,Pune,183,9,18.5,21.28
Cabbage,Bangalore,859,10,22.5,26.43
Spinach,Delhi,126,9,22.5,25.94
Beans,Mumbai,170,5,47.0,54.07
Potato,Mumbai,767,8,18.5,21.6
Cauliflower,Delhi,288,7,25.0,28.28
Onion,Hyderabad,312,1,27.0,27.38
Potato,Kolkata,519,4,23.5,24.37
Onion,Hyderabad,737,6,31.0,33.67
Cauliflower,Kolkata,349,8,29.0,31.66
Spinach,Patna,38,3,14.5,14.33
Spinach,Bangalore,160,8,28.0,33.42
Cauliflower,Kolkata,113,6,20.5,21.78
Carrot,Mumbai,227,3,33.0,35.88
Tomato,Mumbai,245,4,29.5,32.41
Carrot,Bangalore,406,7,34.5,38.62
Potato,Delhi,311,8,24.5,28.45
Spinach,Kolkata,99,5,16.5,17.78
Tomato,Mumbai,231,10,32.5,39.97
Spinach,Delhi,106,6,18.0,19.85
Peas,Pune,127,1,37.0,39.09
Cabbage,Patna,579,8,15.5,15.84
Tomato,Hyderabad,209,2,20.0,19.93
Brinjal,Chennai,332,9,30.5,34.47
Peas,Kolkata,471,6,42.0,46.3
Potato,Mumbai,756,4,19.0,20.17
Onion,Pune,793,7,32.0,34.4
Cabbage,Chennai,200,5,14.5,16.0
Beans,Kolkata,230,4,47.5,51.44
Spinach,Hyderabad,39,4,22.5,24.43
Carrot,Patna,381,7,29.5,32.18
Carrot,Bangalore,190,8,47.0,55.73
Tomato,Mumbai,178,4,36.0,39.99
Potato,Pune,335,2,17.0,16.99
Cabbage,Kolkata,152,6,13.0,14.65
Beans,Kolkata,200,4,30.5,32.66
Potato,Hyderabad,223,2,18.5,18.91
Tomato,Pune,415,4,17.5,17.75
Carrot,Chennai,546,1,30.5,30.24
Beans,Chennai,75,3,40.0,45.53
Cauliflower,Bangalore,932,5,35.5,37.18
Tomato,Pune,235,3,29.0,29.4
Peas,Pune,57,4,39.5,43.43
Onion,Delhi,882,1,18.5,19.11
Spinach,Mumbai,80,5,17.0,19.15
Cabbage,Hyderabad,445,5,20.5,22.25
Carrot,Pune,393,7,34.0,36.75
Potato,Pune,1543,5,21.0,21.79
Beans,Chennai,293,7,54.5,63.36
Brinjal,Chennai,217,8,29.5,33.47
Cabbage,Hyderabad,174,9,19.5,23.09
Cabbage,Bangalore,324,6,20.5,22.89
Beans,Hyderabad,152,5,35.0,38.4
Peas,Chennai,134,6,31.5,37.42
Onion,Delhi,239,4,25.5,27.99
Onion,Patna,923,2,21.0,20.72
Spinach,Delhi,64,8,20.0,24.22
Peas,Hyderabad,252,7,31.0,35.32
Onion,Patna,400,9,28.0,30.38
Spinach,Bangalore,116,5,21.5,24.37
Onion,Chennai,188,6,31.0,35.51
Beans,Delhi,89,10,38.5,49.56
Cauliflower,Kolkata,547,2,18.5,18.13
Beans,Kolkata,263,2,29.5,30.88
Carrot,Bangalore,119,5,40.5,47.29
Carrot,Mumbai,227,7,41.5,49.66
Potato,Patna,967,3,15.5,14.8
Onion,Pune,204,4,25.0,26.9
Peas,Kolkata,68,8,34.5,40.87
Peas,Mumbai,118,6,65.0,78.44
Tomato,Delhi,195,8,27.5,31.64
Onion,Chennai,347,8,23.5,27.35
Potato,Hyderabad,809,4,18.5,19.37
Carrot,Bangalore,490,4,49.5,53.13
Brinjal,Hyderabad,228,5,28.5,30.63
Brinjal,Delhi,262,7,27.0,30.65
Potato,Mumbai,953,9,25.5,31.07
Carrot,Kolkata,742,3,26.5,26.32
Beans,Kolkata,140,8,48.5,54.34
Tomato,Bangalore,477,8,32.5,36.92
Beans,Delhi,325,9,50.0,61.61
Onion,Kolkata,530,10,36.0,42.85
Cabbage,Chennai,474,8,25.0,27.35
Carrot,Hyderabad,124,9,42.5,49.05
Tomato,Pune,474,8,21.5,24.45
Beans,Pune,172,3,40.5,41.7
Tomato,Hyderabad,313,6,22.5,24.58
Cabbage,Mumbai,225,10,18.0,22.04
Cauliflower,Pune,267,4,25.0,25.88
Brinjal,Hyderabad,130,2,20.0,20.19
Onion,Patna,321,3,19.0,19.27
Peas,Delhi,303,8,71.5,83.43
Onion,Hyderabad,282,5,20.0,21.74
Brinjal,Bangalore,462,8,29.5,33.91
Cabbage,Patna,235,2,13.5,13.6
Carrot,Hyderabad,277,2,39.0,39.63
Tomato,Kolkata,271,4,26.0,26.1
Tomato,Patna,210,6,20.5,20.64
Tomato,Bangalore,386,10,37.5,45.0
Tomato,Hyderabad,815,8,27.0,29.18
Cauliflower,Bangalore,522,8,28.5,32.08
Cabbage,Bangalore,114,7,19.0,22.3
Beans,Mumbai,45,6,42.0,49.75
Tomato,Chennai,250,8,22.5,25.03
Brinjal,Patna,157,6,24.0,24.24
Onion,Mumbai,713,8,38.5,45.22
Onion,Hyderabad,199,8,30.5,34.11
Tomato,Pune,266,8,28.0,30.75
Cauliflower,Mumbai,174,9,31.0,37.69
Tomato,Patna,177,6,23.5,23.81
Spinach,Pune,56,1,20.5,19.47
Brinjal,Delhi,129,7,26.0,30.14
Tomato,Pune,374,5,21.0,21.77
Cabbage,Delhi,242,9,18.5,22.54
Cauliflower,Chennai,687,5,20.5,21.17
Spinach,Chennai,49,6,28.5,31.79
Onion,Chennai,139,9,34.5,41.8
Potato,Bangalore,1321,3,18.5,19.1
Cauliflower,Delhi,140,7,25.5,29.27
Beans,Kolkata,252,1,31.5,32.53
Peas,Hyderabad,65,7,35.5,42.26
Carrot,Mumbai,109,9,47.5,59.1
Peas,Chennai,199,4,29.5,32.8
Beans,Delhi,79,7,55.0,68.58
Onion,Patna,175,7,32.0,34.32
Beans,Kolkata,286,6,34.0,35.81
Potato,Delhi,179,10,22.0,27.42
Cauliflower,Delhi,177,4,32.0,34.66
Onion,Pune,191,8,21.5,25.06
Cauliflower,Chennai,557,4,21.0,22.86
Cauliflower,Pune,453,3,20.0,20.0
Tomato,Pune,208,4,18.0,18.58
Tomato,Mumbai,480,5,39.0,42.17
Beans,Bangalore,175,7,47.5,56.53
Spinach,Hyderabad,146,4,15.5,15.95
Spinach,Delhi,156,10,29.5,35.53
Cauliflower,Kolkata,174,7,23.5,25.58
Beans,Hyderabad,100,5,54.0,60.66
Beans,Pune,555,2,40.0,39.8
Carrot,Delhi,164,10,40.5,52.75
Cauliflower,Hyderabad,280,10,21.5,25.59
Spinach,Delhi,57,8,17.5,20.7
Cauliflower,Kolkata,174,4,18.0,18.22
Beans,Delhi,134,10,53.0,67.2
Peas,Mumbai,259,6,37.0,43.54
Tomato,Pune,194,5,31.0,33.81
Spinach,Bangalore,153,6,19.0,22.16
Peas,Hyderabad,147,5,45.0,51.65
Potato,Bangalore,2040,7,20.0,22.6
Cauliflower,Hyderabad,994,3,32.5,32.13
Carrot,Delhi,417,9,39.0,45.79
Peas,Pune,132,1,29.5,31.08
Brinjal,Mumbai,1484,8,33.5,38.5
Beans,Chennai,220,4,34.5,37.51
Tomato,Mumbai,728,8,38.0,44.52
Cabbage,Delhi,179,5,17.0,19.01
Spinach,Chennai,217,6,27.5,29.28
Tomato,Delhi,522,4,33.5,34.07
Spinach,Hyderabad,193,5,23.0,24.64
Cauliflower,Delhi,194,3,20.5,22.02
Beans,Delhi,114,6,37.0,41.23
Potato,Delhi,309,10,21.5,25.82
Beans,Chennai,162,9,50.5,61.86
Beans,Mumbai,312,6,63.0,73.32
Beans,Patna,105,7,40.5,44.07
Spinach,Chennai,93,4,28.5,29.79
Cabbage,Hyderabad,502,1,16.0,15.2
